id_ciudad ;nombre_ciudad ;id_pais
260;LA GAVIOTA;1
261;LA CORUÑA;12
262;LA CHORRERA;1
263;KUWAIT;88
264;KUALA;85
265;KNOXVILLE;2
266;KINGSTON;25
267;KENTUCKY;2
268;KEFLAVIK;61
269;KANSAS CITY;2
270;JURADO;1
271;JUJUY;19
272;JOHANNESBURG;60
273;JACKSON;2
274;IZMIR;59
275;ITHACA;2
276;ISLA DE ANGUILA;26
277;IQUITOS;3
278;IOWA;2
279;INIRIDA;1
280;INDIANA;2
281;INCHEON;58
282;ILLINOIS;2
283;IGUAZU;19
284;IDAHO;2
285;IBAGUE;1
286;HOUSTON;2
287;HONOLULU;2
288;HONG KONG;57
289;HANNOVER;21
290;HAMBURG;21
291;HABANA;24
292;GULPORT;2
293;GUAYAQUIL;9
294;GUATEMALA;76
295;GUAPI;1
296;GUAM AGANA;93
297;GUAINIA (BARRANCO MINAS);1
298;GUADALAJARA;6
299;GREEN BAY;2
300;GREAT EXUMA ;29
301;GRANADA;12
302;GRAN MANILA ;82
303;GRAN CAYMAN;22
304;GLASGOW;26
305;GEORGIA;2
306;GEORGETOWN;23
307;GENOVA;4
308;GAINESVILLE;2
309;FUENTE DE ORO;1
310;FRESNO YOSEMITE;2
311;FRANKFURT;21
312;FORT WAYNE;2
313;FORT SMITH;2
314;FORT LAUDERDALE;2
315;FLORIDA;2
316;FLORES;76
317;FLORENCIA;1
318;FLANDES;1
319;FAYETTEVILLE;2
320;FARO;27
321;FARGO;2
322;EZEIZA;19
323;ESTOCOLMO;50
324;ESTAMBUL;59
325;ENTEBBE;94
326;ENFIELD;43
327;EL YOPAL;1
328;EL ESPINAL;1
329;EL ENCANTO;1
330;EL CHARCO;1
331;EL BAGRE;1
332;EIVISSA;12
333;EDIMBURGO;74
334;DÜSSELDORF;21
335;DULUTH;2
336;DUBROVICK;70
337;DUBLIN;17
338;DUBAI;18
339;DOTHAN;2
340;DETROIT;2
341;DERBY;40
342;DAYTON;2
343;DAVID;5
344;DARIEN - VALLE;1
345;DALLAS;2
346;DALAS;2
