id_aeropuerto;nombre_aeropuerto;id_ciudad
PCE;CUMARIBO;136
PCR;GERMAN OLANO;136
PTC;LA VICTORIA;136
PBE;PUERTO BERRIO - LA MORELA;137
PUU;PUERTO ASIS - 3 DE MAYO;138
PVA;PROVIDENCIA- EL EMBRUJO;139
PVD;THEODORE FRANCIS;140
PRG;RUZYNE;141
PSS;POSADAS;142
POA;SALGADO FHILO;143
OPO;PORTO;144
PWM;INTER IETPORT;145
PPN;GUILLERMO LEON VALENCIA;146
PTP;LE RAIZET;147
PIT;INTER PITTSBURGH;148
PTL;PITALITO -CONTADOR;149
PRA;LA OPIA;150
PHL;PHILADELPHIA INTL, PA.;151
PEI;PEREIRA - MATECAÑA;152
AVP;WILKES BARRE INTL;153
PEN;PENSILVANIA;153
LBE;ARNOLD PALMER REGIONAL;153
SCE;UNIVERSITY PARK;153
PNS;PENSACALA REGIONAL;154
PZR;CHAPARRITO;155
LAP;LA CARPETA;155
PSO;PASTO - ANTONIO NARIQO;156
CDG;CHARLES DE GAULLE;157
FPO;ORLY;157
PBM;PARAMARIBO;158
PTY;TOCUMEN INTL;159
ECP;METROPOLITAN AREA PANAMÁ;159
PMO;SAN LUIS - HUILA;160
PAC;MARCOS A GELABERT INTL;161
PCA;PACOA;162
YOW;OTTAWA/MACDONALD - CARTIER INTL,;163
OSL;GARDERMOEN;164
ORS;SARDINAS;165
ORO;GUANAPALO;165
MCO;HERDON;166
PDX;PORTLAND INTL;167
ALG;HOUARI BOUMEDIENE;168
OKC;WILL ROGERS WORLDS;169
TUL;TULSA INTERNACIONAL;169
CLE;CLEVELAND HOPKINS;170
CMH;PORT COLUMBUS INTERNATIONAL;170
OCV;OCAÑA - AGUAS CLARAS;171
OAX;XOXOCOTHAN;172
OAK;METROPOLITAN OAKLAND KO.;173
NQU;NUQUI - REYES MURILLO;174
CAN;CANARIAS;175
ABQ;ALBUQUERQUE INTL SUNPORT;176
NWI;AEROPUERTO INTERNACIONAL DE NORWICH;177
CLT;CHARLOTTE DOUGLAS INTL;178
GSO;PIEDMONT TRIAD INTL;178
ILM;NEWHANNOVER INTL;178
AVL;ASHEVILLE REGIONAL;178
ORF;NORFOLKVA BEACH;179
MYR;METROPOLITAN;179
NCE;COTE D'AZUR;180
NCL;NEWCASTLE INTL.;181
EWN;CRAVEN CO RGNL;182
EWR;NEWARK LIBERTY INTL;183
HPN;WHITE PLAINS;183
JFK;JOHN F KENNEDY INTL;183
ALB;ALBANY COUNTRY;183
BUF;GREATER BUFFALO;183
FRG;REPUBLIC AIRPORT;183
LGA;LAGUARDIA;183
MSY;MOISANT FIED;184
TEB;TETERBORO;185
NAS;NASSAU INTL;186
NQN;NEUQUEN AERODROME;186
NVA;NEIVA - BENITO SALAS;187
OMA;EPPLEY AFLD;188
LNK;LINCOLN/MUNICIPAL;188
BNA; NASHVILLE INTL;190
NAP;CAPODICHINO;191
MUC;AEROPUERTO INTERNACIONAL DE MUNICH;193
BOM;MUMBAI;194
BAH;BAHRAIN INTL.;195
VKO;MOSCOW/VNUKOVO;196
SVO;SHEREMETYEVO;196
YUL;MONTRÉAL-PIERRE ELLIOTT TRUDEAU INT;197
MGM;AEROPUERTO REGIONAL DE MONTGOMERY;198
MVD;CARRASCO;199
MTY;GENERAL MARIANO ESCOBEDO INTL;200
MTR;MONTERIA - LOS GARZONES;201
MTB;MONTELIBANO - EL PINDO;202
MBJ;SANGSTER INTL;203
MLU;MONROE AIPORT;204
YQM;MONCTON;205
MMP;MOMPOS - SAN BERNARDO;206
9AJ;SAN LUIS DE PACA;207
MDR;PIEDRA ÑI;207
MFR;MONFORT;207
MGO;SAN GERARDO;207
MIB;BELEN DE INAMBU;207
MIT;WACARICUARA;207
MTI;TIQUIE;207
MTN;BUENOS AIRES - VAUPES;207
MTS;TERESITA;207
MVP;MITU;207
MVU;LOS ANGELES;207
MYA;YAPU;207
MPI;PIRACUARA;207
9AK;CANANARI;207
MBQ;BOCOA QUERARI;207
